<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFOE.US,5,20251231,153000,25.249,25.249,25.11,25.11,1650,0
PFOE.US,5,20251231,153500,25.095,25.095,25.095,25.095,250,0
PFOE.US,5,20251231,163500,25.0698,25.0698,25.0698,25.0698,100,0
PFOE.US,5,20251231,164500,25.05,25.05,25.05,25.05,200,0
PFOE.US,5,20251231,171500,24.99,24.99,24.99,24.99,187709,0
PFOE.US,5,20251231,172000,25.01,25.01,25.01,25.01,100,0
PFOE.US,5,20251231,182000,25.05,25.05,25.05,25.05,800,0
PFOE.US,5,20260102,153000,25.07,25.07,25.07,25.07,100,0
PFOE.US,5,20260102,162500,25,25,25,25,2500,0
PFOE.US,5,20260102,180500,25.06,25.06,25.06,25.06,560,0
PFOE.US,5,20260102,193500,25.0024,25.0024,25.0024,25.0024,1013,0
PFOE.US,5,20260102,201500,25.06,25.06,25.06,25.06,5341,0
PFOE.US,5,20260102,213500,25.1396,25.1396,25.1396,25.1396,512,0
PFOE.US,5,20260102,214000,25.12,25.12,25.11,25.11,300,0
PFOE.US,5,20260105,165000,25.6977,25.6977,25.6977,25.6977,3069,0
PFOE.US,5,20260105,170000,25.6921,25.6921,25.6921,25.6921,1200,0
PFOE.US,5,20260105,171000,25.7215,25.7215,25.7215,25.7215,430,0
PFOE.US,5,20260105,175000,25.8142,25.8142,25.8142,25.8142,1266,0
PFOE.US,5,20260105,182000,25.81,25.81,25.81,25.81,100,0
PFOE.US,5,20260105,183000,25.79,25.79,25.79,25.79,300,0
PFOE.US,5,20260105,185500,25.79,25.79,25.79,25.79,100,0
PFOE.US,5,20260105,190500,25.79,25.79,25.78,25.78,2100,0
PFOE.US,5,20260105,205000,25.8,25.8,25.8,25.8,100,0
PFOE.US,5,20260105,211000,25.7772,25.7772,25.7772,25.7772,550,0
PFOE.US,5,20260105,213000,25.794,25.794,25.794,25.794,260,0
PFOE.US,5,20260105,215000,25.77,25.77,25.77,25.77,100,0
PFOE.US,5,20260106,153000,25.9,25.9,25.9,25.9,100,0
PFOE.US,5,20260106,163500,26.04,26.04,26.04,26.04,100,0
PFOE.US,5,20260106,165000,26.02,26.02,26.01,26.01,200,0
PFOE.US,5,20260106,183000,26.025,26.025,26.025,26.025,313,0
PFOE.US,5,20260106,200500,26.04,26.05,26.016,26.0499,500,0
PFOE.US,5,20260106,212500,26.06,26.07,26.06,26.06,736,0
PFOE.US,5,20260107,161500,26,26,26,26,100,0
PFOE.US,5,20260107,163000,26.01,26.01,26.01,26.01,937721,0
PFOE.US,5,20260107,163500,26.0799,26.0799,26.02,26.02,1920,0
PFOE.US,5,20260107,165500,26.043,26.043,26.043,26.043,726,0
PFOE.US,5,20260107,185000,26.1,26.1,26.1,26.1,200,0
PFOE.US,5,20260107,192000,26.05,26.07,26.035,26.035,8630,0
PFOE.US,5,20260107,193000,26.03,26.035,26.03,26.03,600,0
PFOE.US,5,20260107,200000,26.045,26.045,26.01,26.01,1936,0
PFOE.US,5,20260107,201000,26.01,26.01,26.01,26.01,100,0
PFOE.US,5,20260107,203500,25.9999,25.9999,25.9999,25.9999,1037,0
PFOE.US,5,20260107,211500,25.95,25.95,25.95,25.95,200,0
PFOE.US,5,20260108,163500,26.03,26.03,26.015,26.015,768,0
PFOE.US,5,20260108,164000,26.04,26.06,26.04,26.06,3100,0
PFOE.US,5,20260108,164500,26.0264,26.0264,26.0264,26.0264,205,0
PFOE.US,5,20260108,165000,26.0843,26.0843,26.0843,26.0843,3702,0
PFOE.US,5,20260108,170500,26.07,26.07,26.06,26.06,200,0
PFOE.US,5,20260108,171000,26.05,26.055,26.05,26.055,200,0
PFOE.US,5,20260108,171500,26.04,26.04,26.04,26.04,100,0
PFOE.US,5,20260108,173500,26.03,26.03,26.03,26.03,100,0
PFOE.US,5,20260108,191000,26.07,26.07,26.07,26.07,121,0
PFOE.US,5,20260108,194000,26.055,26.055,26.055,26.055,1722,0
PFOE.US,5,20260108,195000,26.07,26.07,26.07,26.07,100,0
PFOE.US,5,20260108,195500,26.07,26.07,26.07,26.07,100,0
PFOE.US,5,20260108,201000,26.08,26.08,26.08,26.08,100,0
PFOE.US,5,20260108,201500,26.06,26.06,26.06,26.06,100,0
PFOE.US,5,20260108,204000,26.07,26.075,26.07,26.07,2700,0
PFOE.US,5,20260108,210500,26.07,26.07,26.07,26.07,100,0
PFOE.US,5,20260108,211500,26.09,26.09,26.0899,26.0899,5664,0
